,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10
0,-1.7842203006270376,9.13917682205445,2.5170769592487092,-6.6913000227960335,3.3325831862318487,-6.189313625124161,-8.294716526807619,-5.527558497470272,-9.150377497003165,-3.4374190966683873
1,4.513055595967746,-6.242133968650927,-9.76499923644118,8.975385559842927,0.21313284696854973,-5.610270951288774,6.194787065735383,-0.24732528692059605,-1.0000226304310456,-9.0911313644732
2,1.076570168041366,-6.806061934175601,-11.354345600214323,11.589775872419708,1.2234867557063631,-4.481565090136153,5.119434958920294,-0.036395236437424316,-2.308849988720429,-5.8202216625406376
3,-0.2031459391925261,-6.098288727641996,10.389101804672546,-3.5278799363158164,-6.376360738906098,3.4443340923849712,-0.3316585967856378,-3.784060056322506,-6.922081956628222,-3.4635368467874494
4,-4.488164186677743,9.539275896574253,0.4148952934155159,-3.298754254498976,4.83567697133196,-6.927818651153772,-9.123490101789251,-3.1352824745638013,-10.179016955429372,-3.273429198491793
5,1.5913907032906813,10.497766769700892,2.4621533865467877,-7.805351694160269,3.2033713890515325,-7.870018839652961,-9.016015197717984,-1.8856456175514746,-10.378124708457557,-1.6492060642541695
6,-5.733732137053247,-1.3932210013771222,6.644383897540363,0.5961660890632744,2.824315439832934,-5.224498009839905,-7.489673609287199,3.8639235298644925,-0.3203509530847297,-7.245988949185782
7,-3.2053169036062163,8.328772927079134,4.134506852931736,-5.895918241869744,0.7679558279606424,-6.2234601180430165,-6.100204151527535,-2.760757785691519,-8.459458730168093,-3.122899163257803
8,-2.815140110970243,11.949794871363466,2.623519244709974,-5.670744022685909,2.900015427527495,-8.669723541871887,-6.560851494798199,-4.3180068128672575,-7.503993648051374,-2.860763072049008
9,-3.390497308282055,-5.594799555919563,8.680233628737446,-3.9199131395970697,-5.277090378726475,3.153529090611591,-4.40967329120969,-5.997548115887986,-8.241194712780691,-3.3468197748429667
10,5.307606831929631,0.6142984520395502,-6.716032332269528,-2.8521501922936503,1.0623160529501423,4.245721205123024,11.4975483633558,4.64585080060625,-11.485339820158648,0.2951028335600864
11,2.5860791143019064,-8.305672561685167,-11.541094323444076,7.420265180871253,-0.355571458536206,-7.376786593728207,3.542877997317449,2.0167801341470812,-0.9702103094719736,-10.713689224426764
